Day,Time,Length,Class group,Mod,Type,Room,CI,Inv,SI,Stdby
Mon,8:30,1:30,"DASE/FT/2A/01,DASE/FT/2A/02",ME0501,Inv,T1754,DADL,,,
Mon,8:30,1:30,DASE/FT/2A/03,ME0501,Inv,T1755,DADL,,,
Mon,8:30,1:30,"DEEE/FT/2A/01,DEEE/FT/2A/02",ET0513,Inv,T611,DADL,,,
Mon,8:30,1:30,"DEEE/FT/2A/03,DEEE/FT/2A/04",ET0513,Inv,T612,DADL,,,
Mon,8:30,1:30,"DEEE/FT/2A/05,DEEE/FT/2A/06",ET0513,Inv,T621,DADL,,,
Mon,8:30,1:30,"DEEE/FT/2A/10,DEEE/FT/2A/11",ET0513,Inv,T622,DADL,,,
Mon,8:30,1:30,"DEEE/FT/2A/12,DEEE/FT/2A/13",ET0513,Inv,T624,DADL,,,
Mon,8:30,1:30,DEEE/FT/2A/15,ET0513,Inv,T625,DADL,,,
Mon,8:30,1:30,DEEE/FT/3A/16,ET0924,Inv,T613,DADL,,,
Mon,8:30,1:30,DCPE/FT/2A/03,ET0010c,Inv,T933,DADL,,,
Mon,8:30,1:30,DCPE/FT/2A/04,ET0010c,Inv,T934,DADL,,,
Mon,8:30,1:30,DCPE/FT/2A/05,ET0010c,Inv,T912,DADL,,,
Mon,8:30,1:30,DES/FT/3A/01,ET1410c,Inv,T913,DADL,,,
Mon,8:30,1:30,,,SI,"T624,T625",DADL,,,
Mon,8:30,1:30,,,SI,T613,DADL,,,
Mon,8:30,1:30,,,SI,"T621,T622",DADL,,,
Mon,8:30,1:30,,,SI,"T611,T612",DADL,,,
Mon,8:30,1:30,,,SI,"T912,T913",DADL,,,
Mon,8:30,1:30,,,SI,"T933,T934",DADL,,,
Mon,8:30,1:30,,,SI,"T1754,T1755",DADL,,,
Mon,8:30,1:30,,,Stdby,,DADL,,,
Mon,8:30,1:30,,,Stdby,,DADL,,,
Mon,8:30,1:30,,,Stdby,,DADL,,,
Mon,8:30,1:30,,,Stdby,,DADL,,,
Mon,11:00,1:30,"DASE/FT/3B/21,DASE/FT/3B/22",ET0428,Inv,T621,WOWW,,,
Mon,11:00,1:30,"DEEE/FT/3A/01,DASE/FT/3B/23",ET0428,Inv,T622,WOWW,,,
Mon,11:00,1:30,"DEEE/FT/3A/03,DEEE/FT/3A/04",ET0610,Inv,T624,WOWW,,,
Mon,11:00,1:30,DEEE/FT/3A/05,ET0721c,Inv,T933,WOWW,,,
Mon,11:00,1:30,DEEE/FT/3A/06,ET0721c,Inv,T934,WOWW,,,
Mon,11:00,1:30,DCPE/FT/2B/21,ET0721c,Inv,T912,WOWW,,,
Mon,11:00,1:30,DCPE/FT/2B/22,ET0721c,Inv,T913,WOWW,,,
Mon,11:00,1:30,DEEE/FT/3A/07,ET0100c,Inv,T1463,WOWW,,,
Mon,11:00,1:30,DEEE/FT/3A/08,ET0100c,Inv,T1465,WOWW,,,
Mon,11:00,1:30,DEEE/FT/3A/10,ET0100c,Inv,T12501,WOWW,,,
Mon,11:00,1:30,"DES/FT/2A/01,DES/FT/2A/02",ME0301,Inv,T625,WOWW,,,
Mon,11:00,1:30,,,SI,"T624,T625",WOWW,,,
Mon,11:00,1:30,,,SI,"T621,T622",WOWW,,,
Mon,11:00,1:30,,,SI,"T912,T913",WOWW,,,
Mon,11:00,1:30,,,SI,"T933,T934",WOWW,,,
Mon,11:00,1:30,,,SI,T12501,WOWW,,,
Mon,11:00,1:30,,,SI,"T1463,T1465",WOWW,,,
Mon,11:00,1:30,,,Stdby,,WOWW,,,
Mon,11:00,1:30,,,Stdby,,WOWW,,,
Mon,11:00,1:30,,,Stdby,,WOWW,,,
Mon,11:00,1:30,,,Stdby,,WOWW,,,
Mon,13:30,1:30,"DASE/FT/1A/01,DASE/FT/1A/02",ET0083,Inv,T633,DADL,,,
Mon,13:30,1:30,DASE/FT/1A/03,ET0083,Inv,T634,DADL,,,
Mon,13:30,1:30,"DCPE/FT/1A/01,DCPE/FT/1A/02",ET0083,Inv,T631,DADL,,,
Mon,13:30,1:30,"DCPE/FT/1A/03,DCPE/FT/1A/04",ET0083,Inv,T632,DADL,,,
Mon,13:30,1:30,"DEB/FT/1B/21,DEB/FT/1B/22",ET0083,Inv,T621,DADL,,,
Mon,13:30,1:30,"DEEE/FT/1A/01,DEEE/FT/1A/02",ET0083,Inv,T622,DADL,,,
Mon,13:30,1:30,"DEEE/FT/1A/03,DEEE/FT/1A/04",ET0083,Inv,T624,DADL,,,
Mon,13:30,1:30,"DEEE/FT/1A/05,DEEE/FT/1A/06",ET0083,Inv,T625,DADL,,,
Mon,13:30,1:30,"DEEE/FT/1A/07,DEEE/FT/1A/08",ET0083,Inv,T611,DADL,,,
Mon,13:30,1:30,"DEEE/FT/1A/09,DEEE/FT/1A/90",ET0083,Inv,T612,DADL,,,
Mon,13:30,1:30,DCPE/FT/3A/04,ET0531c,Inv,T933,DADL,,,
Mon,13:30,1:30,DCPE/FT/3A/05,ET0531c,Inv,T934,DADL,,,
Mon,13:30,1:30,DCPE/FT/3A/03,ET0722c,Inv,T1463,DADL,,,
Mon,13:30,1:30,DCPE/FT/3A/01,ET0720,Inv,T1561,DADL,,,
Mon,13:30,1:30,DES/FT/3A/95,ME0403,Inv,T1562,DADL,,,
Mon,13:30,1:30,,,SI,"T624,T625",DADL,,,
Mon,13:30,1:30,,,SI,"T631,T632",DADL,,,
Mon,13:30,1:30,,,SI,"T633,T634",DADL,,,
Mon,13:30,1:30,,,SI,"T621,T622",DADL,,,
Mon,13:30,1:30,,,SI,"T611,T612",DADL,,,
Mon,13:30,1:30,,,SI,"T933,T934",DADL,,,
Mon,13:30,1:30,,,SI,T1463,DADL,,,
Mon,13:30,1:30,,,SI,"T1561,T1562",DADL,,,
Mon,13:30,1:30,,,Stdby,,DADL,,,
Mon,13:30,1:30,,,Stdby,,DADL,,,
Mon,13:30,1:30,,,Stdby,,DADL,,,
Mon,13:30,1:30,,,Stdby,,DADL,,,
Mon,16:00,1:30,"DASE/FT/2B/21,DASE/FT/2B/22",ET0053,Inv,T611,WOWW,,,
Mon,16:00,1:30,"DESM/FT/2A/01,DASE/FT/2B/23",ET0053,Inv,T612,WOWW,,,
Mon,16:00,1:30,"DEB/FT/3A/01,DEB/FT/3A/02",ET0053,Inv,T621,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/2B/21,DEEE/FT/2B/22",ET0053,Inv,T622,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/2B/23,DEEE/FT/2B/24",ET0053,Inv,T624,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/2B/25,DEEE/FT/2B/26",ET0053,Inv,T625,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/2B/27,DEEE/FT/2B/28",ET0053,Inv,T631,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/2B/29,DEEE/FT/2B/30",ET0053,Inv,T632,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/2B/32,DEEE/FT/2B/35",ET0053,Inv,T633,WOWW,,,
Mon,16:00,1:30,DEB/FT/3A/95,ET0053,Inv,T634,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/3A/11,DEEE/FT/3A/12",ET0064,Inv,T941,WOWW,,,
Mon,16:00,1:30,"DEEE/FT/3A/13,DEEE/FT/3A/14",ET0064,Inv,T942,WOWW,,,
Mon,16:00,1:30,"DESM/FT/3A/01,DESM/FT/3A/02",ET0064,Inv,T944,WOWW,,,
Mon,16:00,1:30,DCPE/FT/2A/01,ET0702c,Inv,T1463,WOWW,,,
Mon,16:00,1:30,DCPE/FT/2A/02,ET0702c,Inv,T1465,WOWW,,,
Mon,16:00,1:30,DCPE/FT/2B/23,ET0718c,Inv,T912,WOWW,,,
Mon,16:00,1:30,DCPE/FT/2B/24,ET0718c,Inv,T913,WOWW,,,
Mon,16:00,1:30,"DEB/FT/1A/01,DEB/FT/1A/02",ME0101,Inv,T945,WOWW,,,
Mon,16:00,1:30,,,SI,"T624,T625",WOWW,,,
Mon,16:00,1:30,,,SI,"T631,T632",WOWW,,,
Mon,16:00,1:30,,,SI,"T633,T634",WOWW,,,
Mon,16:00,1:30,,,SI,"T621,T622",WOWW,,,
Mon,16:00,1:30,,,SI,"T611,T612",WOWW,,,
Mon,16:00,1:30,,,SI,"T912,T913",WOWW,,,
Mon,16:00,1:30,,,SI,"T941,T942",WOWW,,,
Mon,16:00,1:30,,,SI,"T944,T945",WOWW,,,
Mon,16:00,1:30,,,SI,"T1463,T1465",WOWW,,,
Mon,16:00,1:30,,,Stdby,,WOWW,,,
Mon,16:00,1:30,,,Stdby,,WOWW,,,
Mon,16:00,1:30,,,Stdby,,WOWW,,,
Mon,16:00,1:30,,,Stdby,,WOWW,,,
Tue,8:30,1:30,"DEEE/FT/3A/01,DEEE/FT/3A/16",ET0097,Inv,T621,TAKK,,,
Tue,8:30,1:30,"DEEE/FT/3A/05,DEEE/FT/3A/06",ET0097,Inv,T622,TAKK,,,
Tue,8:30,1:30,"DEEE/FT/3A/03,DEEE/FT/3A/04",ET0614,Inv,T624,TAKK,,,
Tue,8:30,1:30,"DEEE/FT/3A/11,DEEE/FT/3A/12,DEEE/FT/3A/14",ET0920,Inv,T641,TAKK,,,
Tue,8:30,1:30,"DESM/FT/3A/01,DESM/FT/3A/02,DEEE/FT/3A/13",ET0920,Inv,T642,TAKK,,,
Tue,8:30,1:30,"DEEE/FT/3A/07,DEEE/FT/3A/08",ET0102,Inv,T611,TAKK,,,
Tue,8:30,1:30,DEEE/FT/3A/10,ET0102,Inv,T612,TAKK,,,
Tue,8:30,1:30,DCPE/FT/3A/01,ET0708,Inv,T625,TAKK,,,
Tue,8:30,1:30,,,SI,"T624,T625",TAKK,,,
Tue,8:30,1:30,,,SI,"T621,T622",TAKK,,,
Tue,8:30,1:30,,,SI,"T611,T612",TAKK,,,
Tue,8:30,1:30,,,SI,"T641,T642",TAKK,,,
Tue,8:30,1:30,,,Stdby,,TAKK,,,
Tue,8:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,"DASE/FT/1A/01,DASE/FT/1B/21",ET1003,Inv,T611,TAKK,,,
Tue,13:30,1:30,"DASE/FT/1A/02,DASE/FT/1B/22",ET1003,Inv,T612,TAKK,,,
Tue,13:30,1:30,"DASE/FT/1A/03,DASE/FT/1B/23",ET1003,Inv,T613,TAKK,,,
Tue,13:30,1:30,"DCPE/FT/1A/01,DCPE/FT/1B/21",ET1003,Inv,T941,TAKK,,,
Tue,13:30,1:30,"DCPE/FT/1A/02,DCPE/FT/1B/22",ET1003,Inv,T942,TAKK,,,
Tue,13:30,1:30,"DCPE/FT/1A/03,DCPE/FT/1B/23",ET1003,Inv,T944,TAKK,,,
Tue,13:30,1:30,"DCPE/FT/1A/04,DCPE/FT/1B/24",ET1003,Inv,T945,TAKK,,,
Tue,13:30,1:30,"DEB/FT/1A/01,DEB/FT/1A/02",ET1003,Inv,T621,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/01,DEEE/FT/1B/21",ET1003,Inv,T622,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/02,DEEE/FT/1B/22",ET1003,Inv,T624,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/03,DEEE/FT/1B/23",ET1003,Inv,T625,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/04,DEEE/FT/1B/24",ET1003,Inv,T631,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/05,DEEE/FT/1B/25",ET1003,Inv,T632,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/06,DEEE/FT/1B/26",ET1003,Inv,T633,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/07,DEEE/FT/1B/27",ET1003,Inv,T635,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/08,DEEE/FT/1B/28",ET1003,Inv,T641,TAKK,,,
Tue,13:30,1:30,"DEEE/FT/1A/09,DEEE/FT/1B/29",ET1003,Inv,T642,TAKK,,,
Tue,13:30,1:30,DASE/FT/3B/21,ET0424,Inv,T824,TAKK,,,
Tue,13:30,1:30,"DASE/FT/3B/22,DASE/FT/3B/23",ET0424,Inv,T825,TAKK,,,
Tue,13:30,1:30,"DCPE/FT/3A/03,DCPE/FT/3A/04",ET0026c,Inv,T933,TAKK,,,
Tue,13:30,1:30,DCPE/FT/3A/05,ET0026c,Inv,T934,TAKK,,,
Tue,13:30,1:30,DCPE/FT/3A/02,ET1205c,Inv,T912,TAKK,,,
Tue,13:30,1:30,DEB/FT/3A/41,ET1205c,Inv,T1463,TAKK,,,
Tue,13:30,1:30,DES/FT/3A/01,ET1205c,Inv,T1465,TAKK,,,
Tue,13:30,1:30,DES/FT/3A/02,ME0103,Inv,T12A405,TAKK,,,
Tue,13:30,1:30,DES/FT/3A/95,ME0103,Inv,T12A406,TAKK,,,
Tue,13:30,1:30,,,SI,"T624,T625",TAKK,,,
Tue,13:30,1:30,,,SI,"T631,T632",TAKK,,,
Tue,13:30,1:30,,,SI,T613,TAKK,,,
Tue,13:30,1:30,,,SI,"T621,T622",TAKK,,,
Tue,13:30,1:30,,,SI,"T611,T612",TAKK,,,
Tue,13:30,1:30,,,SI,"T641,T642",TAKK,,,
Tue,13:30,1:30,,,SI,"T633,T635",TAKK,,,
Tue,13:30,1:30,,,SI,"T933,T934",TAKK,,,
Tue,13:30,1:30,,,SI,T912,TAKK,,,
Tue,13:30,1:30,,,SI,"T941,T942",TAKK,,,
Tue,13:30,1:30,,,SI,"T824,T825",TAKK,,,
Tue,13:30,1:30,,,SI,"T944,T945",TAKK,,,
Tue,13:30,1:30,,,SI,"T12A405,T12A406",TAKK,,,
Tue,13:30,1:30,,,SI,"T1463,T1465",TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Tue,13:30,1:30,,,Stdby,,TAKK,,,
Wed,8:30,1:30,"DASE/FT/2B/21,DASE/FT/2B/22",ET0087,Inv,T621,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/15,DASE/FT/2B/23",ET0087,Inv,T622,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/01,DEEE/FT/2A/02",ET0087,Inv,T624,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/03,DEEE/FT/2A/04",ET0087,Inv,T625,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/05,DEEE/FT/2A/06",ET0087,Inv,T631,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/10,DEEE/FT/2A/11",ET0087,Inv,T632,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/12,DEEE/FT/2A/13",ET0087,Inv,T633,TAKK,,,
Wed,8:30,1:30,"DES/FT/2A/01,DES/FT/2A/02",ET0087,Inv,T635,TAKK,,,
Wed,8:30,1:30,"DEEE/FT/2A/08,DEEE/FT/2B/32",ET0608,Inv,T611,TAKK,,,
Wed,8:30,1:30,DCPE/FT/2A/03,ET0030c,Inv,T933,TAKK,,,
Wed,8:30,1:30,DCPE/FT/2A/04,ET0030c,Inv,T934,TAKK,,,
Wed,8:30,1:30,DCPE/FT/2A/05,ET0030c,Inv,T912,TAKK,,,
Wed,8:30,1:30,DCPE/FT/3A/02,ET0731c,Inv,T913,TAKK,,,
Wed,8:30,1:30,,,SI,"T624,T625",TAKK,,,
Wed,8:30,1:30,,,SI,"T631,T632",TAKK,,,
Wed,8:30,1:30,,,SI,"T621,T622",TAKK,,,
Wed,8:30,1:30,,,SI,"T633,T635",TAKK,,,
Wed,8:30,1:30,,,SI,T611,TAKK,,,
Wed,8:30,1:30,,,SI,"T912,T913",TAKK,,,
Wed,8:30,1:30,,,SI,"T933,T934",TAKK,,,
Wed,8:30,1:30,,,Stdby,,TAKK,,,
Wed,8:30,1:30,,,Stdby,,TAKK,,,
Wed,8:30,1:30,,,Stdby,,TAKK,,,
Wed,8:30,1:30,,,Stdby,,TAKK,,,
Wed,11:00,1:30,"DASE/FT/1A/01,DASE/FT/1B/21",ET1005,Inv,T611,THBB,,,
Wed,11:00,1:30,"DASE/FT/1A/02,DASE/FT/1B/22",ET1005,Inv,T612,THBB,,,
Wed,11:00,1:30,"DASE/FT/1A/03,DASE/FT/1B/23",ET1005,Inv,T613,THBB,,,
Wed,11:00,1:30,"DCPE/FT/1A/01,DCPE/FT/1B/21",ET1005,Inv,T621,THBB,,,
Wed,11:00,1:30,"DCPE/FT/1A/04,DCPE/FT/1B/22",ET1005,Inv,T622,THBB,,,
